Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency,Industry
NVDA,NVIDIA Corporation,-4.126527677929554,153495587,1.010269908032679,4840967858390.087,USD,30.634935220067995,6.5298,USD,110.33338701884364,0.0191708602923556,Electronic technology,Strong buy,200.04,USD,Semiconductors
AAPL,Apple Inc.,-0.9124271910036631,52010820,0.9606702534830571,4322489143977.503,USD,35.60152422427871,8.2665,USD,29.004822172630675,0.353523450388876,Electronic technology,Buy,294.3,USD,Telecommunications equipment
GOOGM,Alphabet Inc. - Depositary Shares representing a 1/20th Interest in a Share of Series A Mandatory Convertible Preferred Stock,-0.7476257829864711,5871109,0.8521194535796552,4231852498203,USD,3.747015432028133,13.1091,USD,46.187815730487436,0.240219629375429,Technology services,No rating,49.12,USD,Internet software/Services
GOOGN,Alphabet Inc. - Depositary Shares representing a 1/20th Interest in a Share of Series B Mandatory Convertible Preferred Stock,-0.4655870445344067,2082354,0.4947443066499793,4231852498203,USD,3.7508295764011264,13.1091,USD,46.187815730487436,0.240219629375429,Technology services,No rating,49.17,USD,Internet software/Services
GOOG,Alphabet Inc.,-0.7741269568209155,21818231,1.009010113334757,4199092587241.511,USD,26.39998169210701,13.1091,USD,46.187815730487436,0.240839497677619,Technology services,Strong buy,346.08,USD,Internet software/Services
GOOGL,Alphabet Inc.,-1.0152139098604471,34007651,1.0478946896196089,4188890142996.4663,USD,26.403795836480004,13.1091,USD,46.187815730487436,0.240219629375429,Technology services,Strong buy,346.13,USD,Internet software/Services
MSFT,Microsoft Corporation,1.796700604344755,40647472,1.034892876833596,2777788795530.296,USD,22.27145758512457,16.7901,USD,29.74746147782946,0.969129416888986,Technology services,Strong buy,373.94,USD,Packaged software
AMZN,"Amazon.com, Inc.",0.567034666437571,60492207,1.273014942678314,2518346803149.4756,USD,27.977819472495433,8.3677,USD,36.47513577870922,0,Retail trade,Strong buy,234.11,USD,Internet retail
SPCX,Space Exploration Technologies Corp,0.9767141009055753,155846917,,2058121991896.8464,USD,,,,,0,Communications,Buy,156.11,USD,Specialty telecommunications
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,-6.688476917484556,20364067,1.4306865992325395,2055680166320.047,USD,36.268814255200674,12.0321,USD,54.805465493283926,0.563637393888853,Electronic technology,Strong buy,436.39,USD,Semiconductors
AVGO,Broadcom Inc.,-3.055109274985341,33122242,0.9447572939325319,1808594089220.3345,USD,63.28450141501582,6.007,USD,125.81008946695735,0.632443322367582,Electronic technology,Strong buy,380.15,USD,Semiconductors
TSLA,"Tesla, Inc.",-5.786939883964942,50418005,0.9992874334882629,1433221652323.9963,USD,348.6296363968573,1.0946,USD,-39.80422349318082,0,Consumer durables,Neutral,381.61,USD,Motor vehicles
META,"Meta Platforms, Inc.",-0.2926310188879981,13103294,0.7310674366654302,1427101419733.1953,USD,20.438731068180005,27.5066,USD,7.29342195593833,0.37243947858473,Technology services,Strong buy,562.2,USD,Internet software/Services
MU,"Micron Technology, Inc.",-13.17588205187473,60243133,1.1196132285377567,1186116803204.6997,USD,49.65559243294793,21.1813,USD,409.11691183540046,0.0408624874110519,Electronic technology,Strong buy,1051.77,USD,Semiconductors
BRK.B,Berkshire Hathaway Inc. New,0.8430702490331303,4427660,0.7852453483365256,1063615374152.0126,USD,14.66993320076682,33.5932,USD,-10.480916050876308,0,Finance,Buy,492.81,USD,Property/Casualty insurance
BRK.A,Berkshire Hathaway Inc.,0.4629711392016843,253,0.9284403669724771,1059606365789.7823,USD,14.641866188871132,50389.755,USD,-10.480948284775364,0,Finance,Buy,737800.05,USD,Property/Casualty insurance
LLY,Eli Lilly and Company,0.45368757259001163,3316278,1.0518820481052962,1042583020944.4567,USD,39.850257370145066,27.781,USD,130.14091274344932,0.586164343786295,Health technology,Buy,1107.08,USD,Pharmaceuticals: major
WMT,Walmart Inc.,1.9115890083631972,23411423,1.0537537434284323,950353808783.9307,USD,42.068552506429,2.8387,USD,21.780351780351772,0.823519371906469,Retail trade,Strong buy,119.42,USD,Specialty stores
JPM,JP Morgan Chase & Co.,0.802461686979597,7582217,0.7288187746801955,895331993800.6934,USD,16.004866506365733,20.8774,USD,2.4753228521923547,1.77989622299988,Finance,Buy,334.14,USD,Major banks
AMD,"Advanced Micro Devices, Inc.",-5.761107989050627,30196656,0.9691326467930623,847667722103.1898,USD,170.61603597098693,3.0469,USD,123.34701656648583,0,Electronic technology,Buy,519.85,USD,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,-7.815990669949461,2415719,1.0084175928893613,722784791454.1624,USD,59.29939448905012,29.9912,USD,26.402744587321447,0.387083996371647,Electronic technology,Buy,1778.46,USD,Semiconductors
INTC,Intel Corporation,-6.144458634880088,132976743,0.890628980558294,664839291517.0135,USD,,-0.6263,USD,85.99601994499474,0,Electronic technology,Neutral,132.28,USD,Semiconductors
V,Visa Inc.,0.575627679118186,11113384,1.3550655099044575,618897346799.9852,USD,28.87761650651874,11.3749,USD,15.69616648189022,0.796080832823025,Finance,Strong buy,328.48,USD,Finance/Rental/Leasing
XOM,Exxon Mobil Corporation,0.9099443922871314,13699424,0.6692592711414178,579173486531.7297,USD,23.578744874369313,5.9261,USD,-21.597914957796423,2.94648660359645,Energy minerals,Buy,139.73,USD,Integrated oil
JNJ,Johnson & Johnson,3.3680660642483553,11801987,1.3167497728738025,575517433460.1816,USD,27.643141245028215,8.6488,USD,-3.8584243933347526,2.26555406632366,Health technology,Buy,239.08,USD,Pharmaceuticals: major
TCEHY,Tencent Holding Ltd.,-3.0555053335744073,4419857,1.0920146219064875,498307631939.69806,USD,15.005736993815239,3.5733,USD,21.10418220023046,1.09526861861046,Technology services,Strong buy,53.62,USD,Packaged software
CSCO,"Cisco Systems, Inc.",-0.3126799967086279,22654403,0.942583478493142,477504822974.5524,USD,39.49599008932647,3.0674,USD,25.71311475409837,1.35768945939274,Electronic technology,Buy,121.15,USD,Telecommunications equipment
ORCL,Oracle Corporation,-5.660592905694863,33327880,1.1460278063150051,475007760458.10614,USD,28.35462161790963,5.8248,USD,34.18415535948765,1.14240018278403,Technology services,Buy,165.16,USD,Packaged software
AMAT,"Applied Materials, Inc.",-8.481989440469862,12035056,1.0513346178803433,465164934758.2525,USD,55.04838861223339,10.643,USD,29.538345443701996,0.29835358805336,Producer manufacturing,Strong buy,585.88,USD,Industrial machinery
LRCX,Lam Research Corporation,-9.32997997753578,16065230,1.16413710505457,464374555799.5619,USD,70.08738981899171,5.2981,USD,47.59583240472476,0.246618156956585,Producer manufacturing,Buy,371.33,USD,Industrial machinery
CAT,"Caterpillar, Inc.",-3.721094025120316,4286914,1.3004032787079187,453377397421.6959,USD,48.965702516342795,20.1006,USD,-2.04958774340682,0.590836170129514,Producer manufacturing,Buy,984.24,USD,Trucks/Construction/Farm machinery
ARM,Arm Holdings plc,-10.136858628470529,11079064,0.8049146662066351,433814081299,USD,432.88043478260863,0.8464,USD,13.595490538182803,0,Electronic technology,Buy,366.39,USD,Semiconductors
MA,Mastercard Incorporated,0.8221611683777849,3936412,1.0124635467037293,431250780992.3328,USD,28.24642629781816,17.279,USD,21.205106621773286,0.673428494701398,Finance,Strong buy,488.07,USD,Finance/Rental/Leasing
COST,Costco Wholesale Corporation,0.6653702633100255,2529841,1.2208859517577857,424710786205.63043,USD,48.168676880362945,19.8818,USD,12.777024612434968,0.564461029063962,Retail trade,Buy,957.68,USD,Specialty stores
ABBV,AbbVie Inc.,2.0651276031476895,7366040,1.2620140610492474,414772278781.31213,USD,115.78791615289767,2.0275,USD,-13.546819034623924,2.93030737794009,Health technology,Buy,234.76,USD,Pharmaceuticals: major
BAC,Bank of America Corporation,0.9412584974725451,30045715,0.7926999729045265,410963538476.95294,USD,14.369013944717384,4.0302,USD,20.322436184505147,1.91737842077741,Finance,Strong buy,57.91,USD,Major banks
GE,GE Aerospace,0.3801531876548836,4735236,0.9611588964716365,371918435185.00146,USD,43.93270889820064,8.114,USD,26.528193612774466,0.436472178418563,Electronic technology,Buy,356.47,USD,Aerospace & defense
UNH,UnitedHealth Group Incorporated,0.6319464935575866,6675885,0.9616470930323594,371658067784.698,USD,30.90825327774757,13.2408,USD,-44.64988148934658,2.1736992229763,Health services,Buy,409.25,USD,Managed health care
KXIAY,KIOXIA HLDGS CORP,-18.476471424509533,4075401,2.1167370263150227,368094864515.3052,USD,88.23457454993076,0.6499,USD,95.51744885679906,0,Electronic technology,No rating,57.34365,USD,Computer peripherals
MS,Morgan Stanley,-0.46677528733101514,6052807,0.9211407882048096,356513702935.12463,USD,20.471692132124517,11.0411,USD,29.550841292563295,1.7614161786076,Finance,Buy,226.03,USD,Investment managers
PG,Procter & Gamble Company (The),2.153304442036841,7259577,0.8187586460339946,351292445985.82935,USD,22.06394243425864,6.8374,USD,8.592211422400094,2.88387053087757,Consumer non-durables,Buy,150.86,USD,Household/Personal care
CVX,Chevron Corporation,0.5255341025933894,6555262,0.6679810268770149,350481372140.4992,USD,30.538828633405636,5.7625,USD,-33.93295269542089,3.98720438706729,Energy minerals,Buy,175.98,USD,Integrated oil
KO,Coca-Cola Company (The),0.9807619766126005,16853958,0.8299879378134494,345532357997.5556,USD,25.285727779352037,3.1761,USD,27.166079436258816,2.59021752797686,Consumer non-durables,Buy,80.31,USD,Beverages: non-alcoholic
HSBC,"HSBC Holdings, plc.",-0.9532690912858789,1051482,0.5684960532236035,330358224885.4304,USD,15.797127794946373,6.0511,USD,11.526623292847004,3.86488446793078,Finance,Neutral,95.59,USD,Major banks
HD,"Home Depot, Inc. (The)",-0.6643806258036911,4788015,0.8930109800093367,323514508225.04285,USD,23.037270035573037,14.0837,USD,-4.4544547940001165,2.82591390606821,Retail trade,Buy,324.45,USD,Home improvement chains
GS,"Goldman Sachs Group, Inc. (The)",-1.0783011108399394,2066874,0.8217175006322283,322867914692.3748,USD,20.000219292635055,54.7214,USD,26.993564617230493,1.40097797301084,Finance,Neutral,1094.44,USD,Investment banks/Brokers
KLAC,KLA Corporation,-9.165552087977415,18703754,1.2040922835055572,319371244754.29224,USD,69.11768863257286,3.5373,USD,28.554295682512006,0.297220983801456,Electronic technology,Buy,244.49,USD,Semiconductors
RHHBY,Roche Holding Ltd,2.5040716612377936,2113546,1.2764037251697773,314171471149.682,USD,20.956463830849913,2.4026,USD,64.86653400123517,2.03732084690554,Health technology,Buy,50.35,USD,Pharmaceuticals: major
NFLX,"Netflix, Inc.",-0.08232711306257173,50806600,1.0184631133708875,306630323552.1303,USD,23.530552234465375,3.0947,USD,46.23854078064454,0,Technology services,Buy,72.82,USD,Internet software/Services
MRK,"Merck & Company, Inc.",3.567717353654304,10469255,0.7874299930938905,295391014348.9227,USD,33.65979961724643,3.5532,USD,-48.270440251572325,2.8749567024593,Health technology,Buy,119.6,USD,Pharmaceuticals: major
SNDK,Sandisk Corporation,-13.63970216340551,12867750,1.163685102755219,290789064878.4306,USD,68.2585314473826,28.7671,USD,,0,Electronic technology,Buy,1963.6,USD,Computer peripherals
RY,Royal Bank Of Canada,0.0937160895728508,2553298,1.3436180120415802,283414027493.0304,USD,17.929133057582153,11.31845022,USD,24.338571258428367,2.21757322175732,Finance,Buy,202.93,USD,Major banks
AZN,AstraZeneca PLC,2.6015983676245558,1503883,0.8117008658240441,280737081501.15533,USD,27.586053873664408,6.5620114,USD,29.767648087677678,1.77727614747931,Health technology,Buy,181.02,USD,Pharmaceuticals: major
PLTR,Palantir Technologies Inc.,-2.343096234309621,44661538,1.1878429329537459,279766344133.62427,USD,131.47814330779633,0.8876,USD,287.59825327510913,0,Technology services,Buy,116.7,USD,Packaged software
PM,Philip Morris International Inc,3.187619102615933,3444229,0.6056659837726776,278498875798.1969,USD,25.16370703130501,7.1011,USD,45.92400797320346,3.32621123751227,Consumer non-durables,Buy,178.69,USD,Tobacco
GEV,GE Vernova Inc.,-8.21309163791803,3919229,1.0742668344826138,278119818433.27826,USD,30.154036203023622,34.3231,USD,389.82617878753274,0.133027075444089,Producer manufacturing,Buy,1034.98,USD,Electrical products
DELL,Dell Technologies Inc.,2.166177067660193,6643874,0.7630865391462549,277321658870.06085,USD,33.99369045064804,12.5841,USD,100.63934948979589,0.526617467937236,Electronic technology,Buy,427.78,USD,Computer processing hardware
TXN,Texas Instruments Incorporated,-8.402552064523885,10814271,1.1701643992170634,276995854082.84,USD,52.06918378868493,5.8453,USD,10.750487883438492,1.69134464909113,Electronic technology,Buy,304.36,USD,Semiconductors
NVS,Novartis AG,2.9879809306385474,1403616,0.7814361916409769,271515361512.22546,USD,21.85772102833039,7.0172,USD,9.741488513207068,2.06886456724636,Health technology,Neutral,153.38,USD,Pharmaceuticals: major
LVMUY,LVMH-Moet Hennessy Louis Vuitton,0.24532073414500818,934729,1.0293100345970465,271498044923.86996,USD,22.381126257708537,4.9296,USD,-9.263929025014269,1.94165182627658,Consumer non-durables,Buy,110.33,USD,Apparel/Footwear
WFC,Wells Fargo & Company,0.345896946564876,11612299,0.7132394376439789,257453727445.64154,USD,12.99204694618176,6.4755,USD,16.344460814258504,2.1469465648855,Finance,Buy,84.13,USD,Major banks
SFTBY,Softbank Group Corp,-8.457040035987399,7455054,1.8983216869828479,255888687300.69302,USD,7.039086821169146,2.891,USD,343.9496314496314,0.0982141250562303,Communications,Buy,20.35,USD,Specialty telecommunications
BABA,Alibaba Group Holding Limited,-2.2577879394112648,11335713,0.9256587615807754,251828063262.5767,USD,16.568697112589625,6.1924,USD,-16.88053691275168,0.981232733161856,Retail trade,Strong buy,102.6,USD,Internet retail
RTX,RTX Corporation,2.507836990595597,3908621,0.6310252285391704,251008312061.05014,USD,34.931968964353985,5.3358,USD,56.45672061928219,1.52340097893637,Electronic technology,Buy,186.39,USD,Aerospace & defense
IBM,International Business Machines Corporation,5.043216239790659,15685874,1.9989580000462086,249013200375.5718,USD,23.426737287011573,11.3093,USD,94.53513374043176,2.66830544762509,Technology services,Buy,264.94,USD,Information technology services
C,"Citigroup, Inc.",-0.4805382027871138,13297288,0.9196908892982432,248610132902.5983,USD,17.964064436183396,8.07,USD,27.480096044483766,1.64755955241299,Finance,Strong buy,144.97,USD,Major banks
MRVL,"Marvell Technology, Inc.",-9.361398038069249,46361050,0.5810489863647649,244104176978.46454,USD,95.3526517222526,2.9264,USD,,0.0779575131553303,Electronic technology,Strong buy,279.04,USD,Semiconductors
PANW,"Palo Alto Networks, Inc.",1.5764664804469426,5430451,0.7359403098167926,237095719947.58658,USD,239.2983466315703,1.2157,USD,-30.432045779685268,0,Technology services,Buy,290.915,USD,Packaged software
LIN,Linde plc,-0.8612180913858924,2215891,0.838314855828856,236971239076.1562,USD,33.99925664374651,15.0668,USD,9.33896472398204,1.18054614774245,Process industries,Buy,512.26,USD,Chemicals: specialty
STX,Seagate Technology Holdings PLC,-5.068370443493843,5211121,1.1207410302689402,232881993634.55304,USD,98.58471760797342,10.535,USD,52.226685547495876,0.266900661767394,Electronic technology,Buy,1038.59,USD,Computer peripherals
WDC,Western Digital Corporation,-8.445032895634846,12684424,1.2570852507314147,231195536422.7253,USD,40.039756209669235,16.7521,USD,218.5112653294039,0.0614233845649859,Electronic technology,Buy,670.75,USD,Computer peripherals
MUFG,"Mitsubishi UFJ Financial Group, Inc.",-3.3077660594439005,3274762,0.9333309316721894,230624321928,USD,14.29280045351474,1.4112,USD,34.5152988275665,2.32920901246405,Finance,Buy,20.17,USD,Major banks
AXP,American Express Company,-0.0857810512615791,3549756,1.1464547020114204,230476221795.06848,USD,21.069111776447105,16.032,USD,11.993629104931163,1.0086668441447,Finance,Buy,337.78,USD,Finance/Rental/Leasing
SHEL,Shell PLC,-0.1883002761737277,5194371,0.8203179928085013,221207919205.99362,USD,12.381263820112741,6.4218,USD,47.92684050492952,3.71227717800653,Energy minerals,Buy,79.51,USD,Integrated oil
TOELY,Tokyo Electron Ltd.,-7.739662225102258,612889,0.8864854466388814,218835141025.12064,USD,55.208181862246136,4.1262,USD,6.705629832682513,0.659453933972788,Producer manufacturing,Buy,227.8,USD,Industrial machinery
QCOM,QUALCOMM Incorporated,-8.008111762054984,23781891,1.1354797726734438,215153014082.1618,USD,22.203972414993363,9.1934,USD,-6.380855397148674,1.60432627309599,Electronic technology,Neutral,204.13,USD,Semiconductors
BHP,BHP Group Limited,-4.115178363254839,4244440,1.3353833936930755,214598182287.99997,USD,20.39879963294561,4.0321,USD,-9.901233464426177,3.06598274656097,Non-energy minerals,Neutral,82.25,USD,Steel
ANET,"Arista Networks, Inc.",-7.08065994500459,7770051,1.0527169409455008,204242664818.86,USD,55.54033694014518,2.9204,USD,23.546831373212623,0,Electronic technology,Strong buy,162.2,USD,Computer peripherals
NVO,Novo Nordisk A/S,3.356582388840451,17674138,1.3302462888796704,202769141191.935,USD,11.128842994602206,4.261,USD,26.379167160991816,2.68226678291194,Health technology,Buy,47.42,USD,Pharmaceuticals: major
TD,Toronto Dominion Bank (The),-0.07526342197692207,2341419,1.022871749200907,201877873656.15613,USD,19.161956814090626,6.235793200000001,USD,-10.785457988270956,2.51698670605613,Finance,Buy,119.49,USD,Major banks
SAN,"Banco Santander, S.A. Sponsored",-0.8023340627279446,7047779,0.7531157132540395,201189908850.88416,USD,10.863487499001517,1.2519,USD,43.995859213250526,1.46148796498906,Finance,Buy,13.6,USD,Major banks
TM,Toyota Motor Corporation,-1.4729275908796324,580998,0.9344848284820375,200876395255.93457,USD,8.543214165295842,19.5746,USD,-16.974457725032444,3.15234607906675,Consumer durables,Buy,167.23,USD,Motor vehicles
TMUS,"T-Mobile US, Inc.",2.5047206486726594,8197017,1.3098043196032885,199742520969.55154,USD,19.63030322367931,9.4023,USD,-8.355183001120901,2.18815950238809,Communications,Strong buy,184.57,USD,Wireless telecommunications
ADI,"Analog Devices, Inc.",-8.579509742300445,7559622,1.4848478723806078,198371071227.86676,USD,60.52131011115735,6.7292,USD,83.19222497481829,0.913621262458472,Electronic technology,Buy,407.26,USD,Semiconductors
APH,Amphenol Corporation,-4.374548083875644,10010550,0.965455014539428,195238222582.96634,USD,45.603448275862064,3.48,USD,68.63733281643728,0.500120510966498,Electronic technology,Buy,158.7,USD,Electronic components
VZ,Verizon Communications Inc.,3.020282186948848,23019146,0.8167939868759603,195123878528.34146,USD,11.386729696142693,4.1039,USD,-2.501663023852507,6.09567901234568,Communications,Buy,46.73,USD,Wireless telecommunications
PEP,"PepsiCo, Inc.",0.9523132684244213,7589035,0.7311154609609699,194149465117.09546,USD,22.30999984294263,6.3671,USD,-6.377190918715445,4.04377798308578,Consumer non-durables,Buy,142.05,USD,Food: specialty/candy
MCD,McDonald's Corporation,0.5775638652350988,3783395,0.8071721717969481,193016026119.67285,USD,22.39405155429523,12.1309,USD,7.012173606210305,2.68789337282488,Consumer services,Buy,271.66,USD,Restaurants
AMGN,Amgen Inc.,0.6643072638663157,2304951,0.6007993120558275,187284161173.34857,USD,24.13277511961722,14.3792,USD,31.258158449643542,2.84288698073799,Health technology,Buy,347.01,USD,Biotechnology
TJX,"TJX Companies, Inc. (The)",0.10964244380825171,4903295,0.7964798261994877,181558177253.98187,USD,31.925639581188445,5.1479,USD,21.384107521810904,1.06901382713041,Retail trade,Buy,164.35,USD,Apparel/Footwear retail
NEE,"NextEra Energy, Inc.",0.4065985130111623,12881704,1.1648163908062714,180236074236.98352,USD,21.94267435070705,3.9389,USD,47.29815638906547,2.69830390334573,Utilities,Buy,86.43,USD,Electric utilities
DIS,Walt Disney Company (The),1.0541727672035122,14457424,1.2770878311736045,179781014972.87494,USD,16.5648,6.25,USD,27.6526214742346,1.22010736944851,Consumer services,Strong buy,103.53,USD,Movies/Entertainment
TTE,TotalEnergies SE,-0.4462625511342499,1280203,0.7299677992697031,178821386335.02408,USD,11.702447926800286,6.862666726,USD,13.176951225257834,4.7941342357586,Energy minerals,Buy,80.31,USD,Integrated oil
SAP,SAP SE,2.5884556216975487,2682512,0.9897230496114123,176413171732.56635,USD,20.708557232738368,7.4066,USD,42.174872828486414,1.42807103203799,Technology services,Buy,153.38,USD,Packaged software
TMO,Thermo Fisher Scientific Inc,1.1508372664382303,1824724,0.8580981874883433,174420535903.96136,USD,25.804483003183297,18.1887,USD,6.7355597415629465,0.379302170211849,Health technology,Buy,469.35,USD,Medical specialties
BA/PA,"Boeing Company (The) Depositary Shares, each representing a 1/20th interest in a share of 6.00% Series A Mandatory Convertible Preferred Stock, par value $1.00",-0.6865322816243046,170992,0.48653113532372766,174080799927,USD,34.956298200514134,1.945,USD,,0,Electronic technology,No rating,67.99,USD,Aerospace & defense
CRWD,"CrowdStrike Holdings, Inc.",0.811322989458709,2372011,0.7638301071965536,173338277409.0052,USD,,-0.1885,USD,73.02132531844855,0,Technology services,Buy,680.92,USD,Packaged software
BA,Boeing Company (The),-1.8656885386949256,4572503,0.7789978103063123,170832994394.69348,USD,111.41902313624679,1.945,USD,,0,Electronic technology,Buy,216.71,USD,Aerospace & defense
RIO,Rio Tinto Plc,-3.8043478260869574,3186286,1.1309506632806503,170656288561.2934,USD,15.680162740337291,6.0956,USD,-13.847980326200638,4.02073268921095,Non-energy minerals,Buy,95.58,USD,Other metals/Minerals
GLW,Corning Incorporated,-7.510842110279759,17968943,1.345022513535656,167023982676.7087,USD,93.14614830813535,2.0835,USD,298.67967853042484,0.533765429156937,Electronic technology,Buy,194.07,USD,Electronic components
BLK,"BlackRock, Inc.",-3.4618822142354544,1455445,2.1227570193644176,165337254814.1172,USD,26.189290900696175,38.7689,USD,-5.828957020641935,2.03092018940042,Finance,Strong buy,1015.33,USD,Investment managers
SCHW,Charles Schwab Corporation (The),1.238726502227535,11700801,0.9196916194279493,162035252203.47214,USD,18.476579542299607,5.0426,USD,53.293813649490815,1.28219059002499,Finance,Buy,93.17,USD,Investment banks/Brokers
IBKR,"Interactive Brokers Group, Inc.",-2.1896302416855926,6269257,1.369678001006647,160631287290.49997,USD,40.713671539122956,2.326,USD,28.423144876325097,0.330510225160091,Finance,Buy,94.7,USD,Investment banks/Brokers
BUD,Anheuser-Busch Inbev SA Sponsored,2.672275145366815,1958411,1.0739089088644476,160597549452.45206,USD,24.41456813367851,3.3992,USD,18.878086311813668,1.23987504639367,Consumer non-durables,Buy,82.99,USD,Beverages: alcoholic
DE,Deere & Company,-1.1109440518551892,1384002,1.1607557112620988,159786774789.35107,USD,33.54394872695745,17.6467,USD,-14.629402971355596,1.08254397834912,Producer manufacturing,Buy,591.94,USD,Trucks/Construction/Farm machinery
T,AT&T Inc.,3.2126696832579063,73551934,1.3687137062793835,158491612295.84387,USD,7.65179469976518,2.981,USD,83.06312945222302,5.02262443438914,Communications,Buy,22.81,USD,Wireless telecommunications
ABT,Abbott Laboratories,3.0741204599795093,12201914,0.770876448918521,157686277861.45724,USD,25.220782838835493,3.5895,USD,-53.436936527909296,2.77809404531481,Health technology,Buy,90.53,USD,Medical specialties
ETN,"Eaton Corporation, PLC",-6.998944421497086,2459023,0.9657396555974457,157370218611.51886,USD,39.61913699728234,10.2294,USD,3.25426466135056,0.982146954885493,Producer manufacturing,Buy,405.28,USD,Electrical products
APP,Applovin Corporation,-0.5049106286882985,5083639,0.8318720946738978,156890701187.88214,USD,41.19722658386408,11.3362,USD,104.69844709281328,0,Technology services,Strong buy,467.02,USD,Packaged software
GILD,"Gilead Sciences, Inc.",0.14414991591254314,8462589,0.9535169730433305,155258309933.2746,USD,17.014994421313304,7.3494,USD,54.53876400950438,2.55465684311684,Health technology,Buy,125.05,USD,Biotechnology
WELL,Welltower Inc.,2.941593757389453,3593406,0.9301504126341622,153656391480.2222,USD,,-0.6015,USD,-164.84476067270379,1.39985812248759,Finance,Strong buy,217.67,USD,Real estate investment trusts
UNP,Union Pacific Corporation,-0.5001731368550696,2090001,0.8029200922013062,153540171729.58313,USD,21.289154146943815,12.1475,USD,9.43890880916774,2.12381208879997,Transportation,Buy,258.61,USD,Railroads
UBS,UBS Group AG Registered,-1.6621040281580002,1230910,0.49019482905803874,152274234586.08655,USD,17.96669064869156,2.7990686200000003,USD,85.69118793825896,2.07151148730351,Finance,Neutral,50.29,USD,Investment managers
SCCO,Southern Copper Corporation,-5.971249539255439,1166152,0.7547888378045292,148986041548.2385,USD,30.246108504547838,5.9039,USD,36.79417966125258,1.90046595755884,Non-energy minerals,Sell,178.57,USD,Other metals/Minerals
BX,Blackstone Inc.,-2.588025312347892,5303002,1.026152402286111,146667208426.64133,USD,30.80455641644004,3.8978,USD,17.915053242981607,4.03212721077397,Finance,Buy,120.07,USD,Investment managers
ISRG,"Intuitive Surgical, Inc.",0.05707904206477682,2705176,1.1267967490050885,142791378881.0808,USD,48.90705742497392,8.2438,USD,20.922932496259573,0,Health technology,Buy,403.18,USD,Medical specialties
UBER,"Uber Technologies, Inc.",-2.4639507209855873,20733907,0.9745893420548581,141820182867.4236,USD,17.362374461086052,4.0127,USD,-30.030166175521806,0,Transportation,Strong buy,69.67,USD,Other transportation
HON,Honeywell International Inc.,-2.5163298408662524,6402513,1.1987422415649907,140905448497.70087,USD,31.52127689734358,7.0546,USD,-18.970388918242183,2.06040945158038,Electronic technology,Buy,222.37,USD,Aerospace & defense
PFE,"Pfizer, Inc.",-1.435406698564591,82009160,1.8200429977078796,140890251485.0909,USD,18.952694932147512,1.3043,USD,-5.382662314109543,6.85805422647528,Health technology,Buy,24.72,USD,Pharmaceuticals: major
SHOP,Shopify Inc.,-0.27782922763474455,10628401,1.3446906825839244,139731453793.58673,USD,105.598015999998,1.019716128,USD,-13.11099438612342,0,Commercial services,Buy,107.68,USD,Miscellaneous commercial services
PLD,"Prologis, Inc.",0.9872766460404556,3117597,0.7619182919562457,138282506354.2359,USD,36.58413721884996,3.9703,USD,0.21201948560034234,2.85058749913092,Finance,Buy,145.25,USD,Real estate investment trusts
COP,ConocoPhillips,0.24612579762989611,7226224,0.8127230652372461,133975781439.08394,USD,18.69856491872407,5.8812,USD,-25.34653465346535,3.00820419325433,Energy minerals,Buy,109.97,USD,Oil & gas production
BKNG,Booking Holdings Inc. Common Stock,0.6973833224056669,9166236,1.0708029483588608,130907963265.10948,USD,22.21024400504838,7.6064,USD,18.312049898119483,0.936997079334804,Consumer services,Strong buy,168.94,USD,Other consumer services
CVS,CVS Health Corporation,0.2665350444225035,6435317,0.668755102773555,129595934289.82341,USD,44.603021254171786,2.2772,USD,-45.60221680760594,2.6258637709773,Retail trade,Buy,101.57,USD,Drugstore chains
CB,Chubb Limited,2.124846248462492,1225740,0.7475726941471121,128812225110.88403,USD,11.73040311671064,28.3119,USD,36.293789444800154,1.19311193111931,Finance,Buy,332.11,USD,Property/Casualty insurance
HDB,HDFC Bank Limited,-0.27899561578318166,6219310,0.5473414379890466,127986479184.42029,USD,14.977551631248128,1.6705,USD,1.959228515625001,1.27826225587884,Finance,Strong buy,25.02,USD,Major banks
IFNNY,Infineon Technologies AG,-6.980732371633211,440979,0.5915873083588425,127806521396.48639,USD,96.60555264536406,0.9545,USD,51.772936873906815,0.282397673898457,Electronic technology,Buy,92.21,USD,Semiconductors
BTI,"British American Tobacco Industries, p.l.c.",3.1239388794567122,3852585,0.8608736433411145,127193020088.20099,USD,13.23715294425315,4.5886,USD,172.04600699590912,5.23551612903226,Consumer non-durables,Buy,60.74,USD,Tobacco
DHR,Danaher Corporation,0.4377350019641962,4149960,1.0558159290576508,126669711365.87346,USD,34.5875850340136,5.1744,USD,0.3160078323413699,0.763230259835008,Health technology,Strong buy,178.97,USD,Medical specialties
